Country,City,LaundryID,TenantID,Service,Item,StartDate,EndDate,DeliveryDate,Fee,Water_Litres,Electricity_kWh,IsHoliday,DayOfWeek,IsWeekend
Pakistan,Lahore,L1,T95,Wash,Towel,2025-01-01,2025-01-02,2025-01-03,70.9,239.0,1.35,1,2,0
UK,London,L1,T12,Wash,Tablecloth,2025-01-01,2025-01-04,2025-01-05,60.51,283.0,3.6,1,2,0
Pakistan,Karachi,L4,T58,Dry-clean,Bedsheet,2025-01-01,2025-01-02,2025-01-04,40.62,139.0,1.86,1,2,0
UK,London,L2,T49,Wash,Uniform,2025-01-01,2025-01-04,2025-01-06,82.64,286.0,2.84,1,2,0
USA,Los Angeles,L2,T71,Wash,Tablecloth,2025-01-01,2025-01-03,2025-01-04,73.41,111.0,3.65,1,2,0
UK,London,L4,T13,Wash,Curtain,2025-01-01,2025-01-04,2025-01-06,24.64,190.0,1.84,1,2,0
UK,Birmingham,L2,T78,Press,Tablecloth,2025-01-01,2025-01-04,2025-01-05,24.71,,2.52,1,2,0
Pakistan,Islamabad,L9,T29,Press,Bedsheet,2025-01-01,2025-01-02,2025-01-03,82.45,,2.6,1,2,0
USA,New York,L10,T92,Wash,Curtain,2025-01-01,2025-01-03,2025-01-05,22.86,135.0,1.99,1,2,0
Pakistan,Islamabad,L5,T96,Dry-clean,Tablecloth,2025-01-01,2025-01-03,2025-01-05,29.74,135.0,3.04,1,2,0
USA,New York,L2,T20,Press,Curtain,2025-01-01,2025-01-04,2025-01-05,44.63,,3.38,1,2,0
UK,Birmingham,L5,T71,Press,Bedsheet,2025-01-01,2025-01-04,2025-01-05,71.35,,3.15,1,2,0
UK,Birmingham,L6,T15,Wash,Towel,2025-01-01,2025-01-03,2025-01-04,95.84,284.0,2.05,1,2,0
Pakistan,Lahore,L9,T14,Press,Uniform,2025-01-01,2025-01-04,2025-01-05,23.76,,4.05,1,2,0
Pakistan,Islamabad,L1,T77,Wash,Bedsheet,2025-01-01,2025-01-02,2025-01-04,89.08,178.0,1.96,1,2,0
USA,Chicago,L2,T11,Press,Bedsheet,2025-01-01,2025-01-04,2025-01-05,21.56,,2.9,1,2,0
Pakistan,Lahore,L5,T68,Press,Curtain,2025-01-01,2025-01-02,2025-01-03,74.17,,2.6,1,2,0
Pakistan,Islamabad,L6,T57,Press,Curtain,2025-01-01,2025-01-02,2025-01-03,30.22,,2.35,1,2,0
Pakistan,Islamabad,L4,T76,Wash,Bedsheet,2025-01-01,2025-01-04,2025-01-05,30.6,108.0,4.44,1,2,0
USA,Chicago,L4,T36,Press,Towel,2025-01-01,2025-01-04,2025-01-05,75.1,,4.53,1,2,0
Pakistan,Karachi,L4,T61,Press,Towel,2025-01-01,2025-01-02,2025-01-03,69.31,,2.42,1,2,0
UK,Manchester,L1,T87,Press,Bedsheet,2025-01-01,2025-01-02,2025-01-04,75.54,,4.2,1,2,0
USA,New York,L4,T25,Dry-clean,Towel,2025-01-01,2025-01-03,2025-01-04,35.07,163.0,4.5,1,2,0
USA,Los Angeles,L9,T13,Wash,Tablecloth,2025-01-01,2025-01-02,2025-01-03,93.37,160.0,1.67,1,2,0
UK,Manchester,L4,T52,Rent-Laundry,Towel,2025-01-01,2025-01-03,2025-01-04,98.68,,,1,2,0
UK,Manchester,L5,T55,Press,Tablecloth,2025-01-01,2025-01-04,2025-01-06,23.93,,2.19,1,2,0
USA,Chicago,L9,T8,Press,Bedsheet,2025-01-01,2025-01-02,2025-01-04,55.26,,4.41,1,2,0
USA,New York,L9,T11,Press,Bedsheet,2025-01-01,2025-01-04,2025-01-05,70.77,,1.94,1,2,0
USA,Chicago,L4,T75,Dry-clean,Tablecloth,2025-01-01,2025-01-02,2025-01-04,69.16,244.0,3.09,1,2,0
UK,London,L6,T31,Wash,Towel,2025-01-01,2025-01-04,2025-01-06,51.15,292.0,4.74,1,2,0
USA,Los Angeles,L10,T73,Rent-Laundry,Bedsheet,2025-01-01,2025-01-04,2025-01-05,55.53,,,1,2,0
USA,Los Angeles,L2,T32,Wash,Towel,2025-01-01,2025-01-03,2025-01-05,65.05,267.0,3.12,1,2,0
Pakistan,Islamabad,L5,T85,Wash,Towel,2025-01-01,2025-01-03,2025-01-04,90.07,290.0,3.21,1,2,0
UK,Manchester,L10,T27,Press,Towel,2025-01-01,2025-01-04,2025-01-06,55.49,,2.0,1,2,0
USA,New York,L7,T36,Wash,Uniform,2025-01-01,2025-01-02,2025-01-04,24.54,213.0,3.21,1,2,0
UK,Birmingham,L1,T15,Wash,Towel,2025-01-01,2025-01-04,2025-01-05,85.11,249.0,3.21,1,2,0
UK,London,L1,T40,Wash,Bedsheet,2025-01-01,2025-01-03,2025-01-04,71.39,270.0,1.41,1,2,0
Pakistan,Karachi,L10,T96,Wash,Towel,2025-01-02,2025-01-03,2025-01-04,89.33,106.0,1.72,0,3,0
UK,Manchester,L4,T35,Wash,Bedsheet,2025-01-02,2025-01-04,2025-01-05,87.27,156.0,1.8,0,3,0
UK,Manchester,L5,T30,Wash,Towel,2025-01-02,2025-01-04,2025-01-06,35.07,117.0,4.87,0,3,0
UK,Manchester,L9,T52,Press,Tablecloth,2025-01-02,2025-01-04,2025-01-05,20.38,,4.88,0,3,0
USA,Chicago,L5,T5,Wash,Curtain,2025-01-02,2025-01-04,2025-01-06,49.28,230.0,1.46,0,3,0
Pakistan,Lahore,L5,T6,Press,Bedsheet,2025-01-02,2025-01-05,2025-01-06,42.78,,1.28,0,3,0
Pakistan,Karachi,L10,T41,Press,Bedsheet,2025-01-02,2025-01-05,2025-01-07,55.64,,3.67,0,3,0
UK,Manchester,L5,T71,Wash,Curtain,2025-01-02,2025-01-05,2025-01-07,70.96,144.0,3.46,0,3,0
UK,Manchester,L9,T1,Wash,Towel,2025-01-02,2025-01-04,2025-01-06,51.85,213.0,3.7,0,3,0
Pakistan,Karachi,L3,T85,Wash,Tablecloth,2025-01-02,2025-01-05,2025-01-07,18.4,292.0,1.94,0,3,0
UK,London,L4,T19,Wash,Towel,2025-01-02,2025-01-04,2025-01-05,50.99,261.0,3.3,0,3,0
Pakistan,Islamabad,L7,T64,Wash,Towel,2025-01-02,2025-01-05,2025-01-06,90.34,297.0,4.54,0,3,0
UK,London,L3,T90,Dry-clean,Bedsheet,2025-01-02,2025-01-05,2025-01-06,92.57,131.0,2.83,0,3,0
UK,Birmingham,L9,T72,Dry-clean,Curtain,2025-01-02,2025-01-05,2025-01-07,84.75,240.0,2.78,0,3,0
USA,Chicago,L8,T58,Wash,Towel,2025-01-02,2025-01-05,2025-01-07,78.92,233.0,2.94,0,3,0
USA,Los Angeles,L8,T10,Press,Towel,2025-01-02,2025-01-04,2025-01-06,38.77,,3.16,0,3,0
USA,New York,L4,T50,Press,Towel,2025-01-02,2025-01-03,2025-01-05,46.68,,3.17,0,3,0
UK,London,L4,T54,Wash,Tablecloth,2025-01-02,2025-01-05,2025-01-06,87.11,295.0,3.3,0,3,0
UK,London,L6,T39,Press,Curtain,2025-01-02,2025-01-05,2025-01-06,53.94,,2.09,0,3,0
UK,London,L7,T44,Press,Curtain,2025-01-02,2025-01-05,2025-01-06,85.65,,4.68,0,3,0
Pakistan,Islamabad,L1,T51,Dry-clean,Bedsheet,2025-01-02,2025-01-03,2025-01-05,22.21,218.0,1.73,0,3,0
UK,Manchester,L6,T28,Dry-clean,Uniform,2025-01-03,2025-01-05,2025-01-07,77.68,207.0,2.01,0,4,0
USA,Los Angeles,L1,T96,Dry-clean,Uniform,2025-01-03,2025-01-04,2025-01-05,80.31,266.0,1.16,0,4,0
USA,New York,L4,T3,Press,Towel,2025-01-03,2025-01-04,2025-01-06,70.25,,3.26,0,4,0
USA,Los Angeles,L5,T99,Wash,Tablecloth,2025-01-03,2025-01-06,2025-01-07,80.0,141.0,4.86,0,4,0
